Token	InstrumentName	ShortName	Series	ExpiryDate	StrikePrice	OptionType	CALevel	PermittedToTrade	IssueCapital	WarningQty	FreezeQty	CreditRating	NormalMarketStatus	OddLotMarketStatus	SpotMarketStatus	AuctionMarketStatus	NormalMarketEligibility	OddLotMarketEligibility	SpotMarketEligibility	AuctionMarketEligibility	IssueRate	IssueStartDate	InterestPaymentDate	IssueMaturityDate	MarginPercentage	MinimumLotQty	LotSize	TickSize	CompanyName	ListingDate	ExpulsionDate	ReAdmissionDate	RecordDate	LowPriceRange	HighPriceRange	SecurityExpiryDate	NoDeliveryStartDate	NoDeliveryEndDate	MF	AON	ParticipantInMarketIndex	BookClsStartDate	BookClsEndDate	ExcerciseStartDate	ExcerciseEndDate	OldToken	AssetInstrument	AssetName	AssetToken	IntrinsicValue	ExtrinsicValue	ExcerciseStyle	EGM	AGM	Interest	Bonus	Rights	Dividends	ExAllowed	ExRejectionAllowed	PlAllowed	IsThisAsset	IsCorpAdjusted	LocalUpdateDatetime	DeleteFlag	Remarks	BasePrice	ExchangeCode
50079	FUTSTK	SRF	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				44800	0	200	10	SRF LIMITED					2716.8	3320.4				2-Mon							0			0	0	0								NFO								301860	SRF
50080	FUTSTK	SUNPHA	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				2450	0	350	10	SUN PHARMACEUTICAL INDUSTRIES					1556.1	1901.7				3-Mon							0			0	0	0								NFO								172750	SUNPHARMA
50081	FUTSTK	SUPIND	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				1225	0	175	10	SUPREME INDUSTRIES LTD					3480.9	4254.3				3-Mon							0			0	0	0								NFO								386760	SUPREMEIND
50084	FUTSTK	SUNPHA	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				91350	0	350	10	SUN PHARMACEUTICAL INDUSTRIES					1547	1890.6				2-Mon							0			0	0	0								NFO								171880	SUNPHARMA
50085	FUTSTK	SUPIND	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				44625	0	175	10	SUPREME INDUSTRIES LTD					3458.2	4226.6				2-Mon							0			0	0	0								NFO								384240	SUPREMEIND
50103	FUTSTK	SUZENE	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				8056000	0	8000	1	SUZLON ENERGY LIMITED					53.31	65.15				2-Mon							0			0	0	0								NFO								5923	SUZLON
50104	FUTSTK	SYNINT	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				133000	0	1000	5	SYNGENE INTERNATIONAL LTD					591.75	723.25				2-Mon							0			0	0	0								NFO								65750	SYNGENE
50109	FUTSTK	TATGLO	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				125400	0	550	10	TATA CONSUMER PRODUCTS LIMITED					1069.4	1307				2-Mon							0			0	0	0								NFO								118820	TATACONSUM
50110	FUTSTK	TATELX	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				63100	0	100	50	TATA ELXSI LIMITED					4934.5	6030.5				2-Mon							0			0	0	0								NFO								548250	TATAELXSI
50115	FUTSTK	TATMOT	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				2094400	0	800	5	TATA MOTORS PAX VEHICLES LTD					374.5	457.7				2-Mon							0			0	0	0								NFO								41610	TMPV
50118	FUTSTK	TATPOW	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				1015000	0	1450	5	TATA POWER CO LTD					373.45	456.35				2-Mon							0			0	0	0								NFO								41490	TATAPOWER
50120	FUTSTK	TATSTE	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				5071000	0	5500	1	TATA STEEL LIMITED					167.84	205.14				2-Mon							0			0	0	0								NFO								18649	TATASTEEL
50123	FUTSTK	TATTEC	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				599200	0	800	5	TATA TECHNOLOGIES LIMITED					634.95	776.05				2-Mon							0			0	0	0								NFO								70550	TATATECH
50124	FUTSTK	TCS	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				1262450	0	175	10	TATA CONSULTANCY SERVICES LTD					2766.6	3381.4				2-Mon							0			0	0	0								NFO								307400	TCS
50125	FUTSTK	TECMAH	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				271200	0	600	10	TECH MAHINDRA LIMITED					1307.4	1597.8				2-Mon							0			0	0	0								NFO								145260	TECHM
50126	FUTSTK	TUBIN	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				19400	0	200	10	TUBE INVESTMENTS OF INDIA LTD					2782.7	3400.9				2-Mon							0			0	0	0								NFO								309180	TIINDIA
50130	FUTSTK	TITWAG	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				192850	0	725	5	TITAGARH RAIL SYSTEMS LIMITED					815.3	996.4				2-Mon							0			0	0	0								NFO								90585	TITAGARH
50131	FUTSTK	SUZENE	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				758100	0	9025	1	SUZLON ENERGY LIMITED					53.66	65.58				3-Mon							0			0	0	0								NFO								5962	SUZLON
50133	FUTSTK	SYNINT	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				7000	0	1000	5	SYNGENE INTERNATIONAL LTD					594.4	726.4				3-Mon							0			0	0	0								NFO								65985	SYNGENE
50134	FUTSTK	TATGLO	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				1100	0	550	10	TATA CONSUMER PRODUCTS LIMITED					1074.8	1313.6				3-Mon							0			0	0	0								NFO								119320	TATACONSUM
50137	FUTSTK	TATELX	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				9200	0	100	50	TATA ELXSI LIMITED					4921	6014				3-Mon							0			0	0	0								NFO								546750	TATAELXSI
