INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,25/11/2025,00046500.00,PE      ,00000003.95,00000005.20,00000003.30,00000003.50,000000000074795,            13965,              399,              135,      649427357.25,          54857.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00047500.00,PE      ,00000007.05,00000007.05,00000004.30,00000005.00,000000000020335,             5320,              152,              077,      252728729.75,          28729.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00048500.00,PE      ,00000007.75,00000007.90,00000004.30,00000005.30,000000000006335,             6930,              198,              092,      336147120.75,          42120.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00048700.00,PE      ,00000007.90,00000008.45,00000004.90,00000005.25,000000000000595,             1050,              030,              019,       51141713.00,           6713.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00049100.00,PE      ,00000007.50,00000007.80,00000005.05,00000005.80,000000000002555,              350,              010,              010,       17187276.75,           2276.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00049500.00,PE      ,00000006.25,00000006.80,00000006.25,00000006.30,000000000014105,             1645,              047,              021,       81438148.75,          10648.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00050100.00,PE      ,00000010.40,00000011.30,00000003.40,00000005.85,000000000000665,             1855,              053,              023,       92950298.00,          14798.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00050300.00,PE      ,00000008.75,00000011.80,00000006.00,00000006.00,000000000000700,             3990,              114,              030,      200729418.75,          32418.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00050500.00,PE      ,00000005.95,00000010.40,00000005.95,00000007.30,000000000016205,             8855,              253,              097,      447245044.75,          67544.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00051300.00,PE      ,00000009.55,00000012.95,00000006.80,00000010.20,000000000000980,             1190,              034,              022,       61058100.25,          11100.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00051500.00,PE      ,00000010.80,00000011.00,00000007.50,00000007.80,000000000018795,            16135,              461,              185,      831088452.25,         135952.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00051700.00,PE      ,00000012.75,00000014.75,00000006.30,00000010.20,000000000000385,              910,              026,              019,       47055956.50,           8956.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00051900.00,PE      ,00000011.30,00000013.05,00000007.55,00000011.00,000000000000595,             1435,              041,              024,       74489493.75,          12993.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00052100.00,PE      ,00000011.00,00000011.00,00000007.25,00000008.15,000000000002240,             3255,              093,              036,      169616461.00,          30961.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00052300.00,PE      ,00000010.25,00000014.45,00000006.65,00000008.35,000000000002275,             6930,              198,              092,      362503310.75,          64310.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00052500.00,PE      ,00000012.00,00000012.10,00000007.90,00000008.50,000000000042630,            57750,             1650,              722,     3032419601.75,         544601.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00052700.00,PE      ,00000013.00,00000016.00,00000006.95,00000008.70,000000000002170,             7175,              205,              078,      378199449.25,          76949.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00052900.00,PE      ,00000012.75,00000012.75,00000009.85,00000009.95,000000000001085,             1295,              037,              018,       68519589.25,          14089.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00053100.00,PE      ,00000014.40,00000017.05,00000008.15,00000009.25,000000000005740,             4130,              118,              056,      219349896.50,          46896.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00053300.00,PE      ,00000012.45,00000015.55,00000009.65,00000010.20,000000000002380,             1540,              044,              025,       82099248.00,          17248.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00053500.00,CE      ,00004970.00,00004972.00,00004965.00,00004970.00,000000000019145,              630,              018,              009,       36835750.00,        3130750.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00053500.00,PE      ,00000012.95,00000015.30,00000008.55,00000010.10,000000000256655,           362775,            10365,             4525,    19412799075.25,        4336575.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00053700.00,PE      ,00000012.05,00000016.95,00000011.00,00000011.05,000000000007175,             7735,              221,              088,      415467640.00,          98140.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00053900.00,PE      ,00000018.40,00000018.40,00000010.95,00000011.40,000000000006335,             8575,              245,              089,      462312312.00,         119812.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00054100.00,PE      ,00000018.55,00000021.90,00000011.30,00000012.40,000000000012495,            25970,              742,              215,     1405347035.75,         370035.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00054300.00,PE      ,00000023.55,00000023.55,00000012.90,00000014.45,000000000014105,            21035,              601,              252,     1142538096.00,         337596.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00054500.00,CE      ,00004101.00,00004139.45,00003901.00,00004115.00,000000000015505,             2450,              070,              052,      143316745.25,        9791745.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00054500.00,PE      ,00000020.85,00000024.95,00000013.35,00000014.75,000000000303240,           635390,            18154,             7601,    34639757195.75,       11002195.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00054700.00,PE      ,00000025.00,00000025.00,00000014.50,00000016.85,000000000021910,            37485,             1071,              432,     2051131579.00,         702079.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00054900.00,CE      ,00003601.10,00003601.10,00003601.10,00003601.10,000000000003115,              035,              001,              001,        2047538.50,         126038.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00054900.00,PE      ,00000027.20,00000027.20,00000016.25,00000018.60,000000000020055,            30765,              879,              413,     1689646381.50,         647881.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00055100.00,PE      ,00000028.20,00000033.45,00000018.90,00000021.90,000000000028700,            49630,             1418,              937,     2735860384.25,        1247384.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00055300.00,PE      ,00000035.10,00000035.10,00000020.30,00000023.00,000000000028945,            56455,             1613,             1062,     3123456402.50,        1494902.50
