The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,INFY      ,25/11/2025,    18046190960.00,            29977
2         ,HDFCBANK  ,25/11/2025,    13683370388.00,            25182
3         ,VOLTAS    ,25/11/2025,    11809534950.00,            23612
4         ,ADANIENT  ,25/11/2025,    17213015670.00,            22705
5         ,MUTHOOTFIN,25/11/2025,    22430628440.00,            21979
6         ,SBIN      ,25/11/2025,    14616622575.00,            20197
7         ,TMPV      ,25/11/2025,     6100096960.00,            19377
8         ,TCS       ,25/11/2025,    10297025183.00,            19002
9         ,PGEL      ,25/11/2025,     6674645810.00,            16773
10        ,RELIANCE  ,25/11/2025,    12526286900.00,            16505
The top ten contracts contributed to around  15% of the total traded volume in Futures on individual securities.INFY was the most active future contracts on individual securities traded today with 36836 contracts and HDFCBANK was the next most active futures contracts with 29601 contracts being traded.                                                                                                                                                                                                     
