INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,25/11/2025,00058761.20,00059067.40,00058695.80,00059027.40,000000001722945,    45653230049.00,           774165,            22119,            16097
FUTIDX    ,BANKNIFTY ,30/12/2025,00059063.40,00059419.80,00059047.60,00059390.20,000000000239715,     9741010153.00,           164185,             4691,             3471
FUTIDX    ,BANKNIFTY ,27/01/2026,00059320.00,00059749.00,00059320.00,00059707.60,000000000056610,     1878878310.00,            31500,             1050,              806
FUTIDX    ,MIDCPNIFTY,25/11/2025,00013950.00,00014061.00,00013921.00,00014044.50,000000003581340,     7437924865.00,           530880,             3792,             3350
FUTIDX    ,MIDCPNIFTY,30/12/2025,00014005.05,00014128.00,00014000.00,00014114.00,000000000139300,      914725728.00,            64960,              464,              372
FUTIDX    ,MIDCPNIFTY,27/01/2026,00014089.40,00014178.10,00014051.05,00014163.70,000000000012360,       72850512.00,             5160,              043,              040
FUTSTK    ,AMBER     ,25/11/2025,00007440.00,00007468.00,00007302.50,00007402.50,000000001231100,     2011591350.00,           272300,             2723,             2247
FUTSTK    ,AMBER     ,30/12/2025,00007186.50,00007220.00,00007082.00,00007154.00,000000000407000,      598533100.00,            83600,              836,              703
FUTSTK    ,AMBER     ,27/01/2026,00007100.00,00007107.00,00006980.00,00007043.00,000000000036600,       44320500.00,             6300,              063,              049
FUTSTK    ,DIXON     ,25/11/2025,00015548.00,00015745.00,00015405.00,00015694.00,000000001990750,     6721731100.00,           429950,             8599,             6907
FUTSTK    ,DIXON     ,30/12/2025,00015601.00,00015845.00,00015531.00,00015795.00,000000000183400,     1824707350.00,           115950,             2319,             1927
FUTSTK    ,DIXON     ,27/01/2026,00015678.00,00015922.00,00015678.00,00015882.00,000000000019650,      196792150.00,            12400,              248,              185
FUTSTK    ,HAL       ,25/11/2025,00004745.60,00004835.70,00004739.40,00004814.50,000000008868450,     6784181715.00,          1416000,             9440,             7348
FUTSTK    ,HAL       ,30/12/2025,00004789.60,00004865.20,00004775.00,00004845.00,000000000992700,     1673155110.00,           347100,             2314,             2105
FUTSTK    ,HAL       ,27/01/2026,00004810.00,00004891.90,00004810.00,00004872.80,000000000121050,      168831225.00,            34800,              232,              210
FUTSTK    ,HEROMOTOCO,25/11/2025,00005600.00,00005822.00,00005600.00,00005815.00,000000005553300,    15134926200.00,          2631150,            17541,            15604
FUTSTK    ,HEROMOTOCO,30/12/2025,00005634.50,00005850.00,00005634.50,00005843.50,000000000324600,     1909436550.00,           329850,             2199,             1907
FUTSTK    ,HEROMOTOCO,27/01/2026,00005700.00,00005866.00,00005700.00,00005864.00,000000000017400,      134891700.00,            23250,              155,              151
FUTSTK    ,KEI       ,25/11/2025,00004080.10,00004178.50,00004080.10,00004165.40,000000000999600,      805548922.50,           193725,             1107,              979
FUTSTK    ,KEI       ,30/12/2025,00004130.50,00004170.00,00004125.30,00004158.80,000000000062825,       90859562.50,            21875,              125,              109
FUTSTK    ,KEI       ,27/01/2026,00004155.00,00004155.00,00004145.00,00004145.00,000000000002975,        2905000.00,              700,              004,              003
FUTSTK    ,MCX       ,25/11/2025,00009750.00,00009835.00,00009654.00,00009728.00,000000002603000,     5205522687.50,           534000,             4272,             3703
FUTSTK    ,MCX       ,30/12/2025,00009821.50,00009892.50,00009718.00,00009790.50,000000000137875,      986970375.00,           100625,              805,              747
FUTSTK    ,MCX       ,27/01/2026,00009900.00,00009950.00,00009779.50,00009848.00,000000000018250,      148037125.00,            15000,              120,              103
FUTSTK    ,SOLARINDS ,25/11/2025,00013992.00,00014113.00,00013850.00,00013961.00,000000000833100,     1658429550.00,           118650,             1582,             1425
FUTSTK    ,SOLARINDS ,30/12/2025,00013970.00,00014196.00,00013961.00,00014055.00,000000000059925,      431152350.00,            30675,              409,              373
FUTSTK    ,SOLARINDS ,27/01/2026,00014099.00,00014224.00,00014082.00,00014150.00,000000000011550,       12021150.00,              850,              017,              014
FUTSTK    ,TCS       ,25/11/2025,00003100.00,00003118.80,00003084.00,00003107.20,000000024275125,     4576090295.00,          1472450,             8414,             7112
FUTSTK    ,TCS       ,30/12/2025,00003132.00,00003139.50,00003117.00,00003126.10,000000003238025,     2007729605.00,           642075,             3669,             3207
FUTSTK    ,TCS       ,27/01/2026,00003141.00,00003150.00,00003128.10,00003137.20,000000000389375,      248756007.50,            79275,              453,              397
FUTIDX    ,NIFTYNXT50,25/11/2025,00070050.20,00070470.00,00070035.20,00070288.40,000000000019475,      393564220.00,             5600,              224,              202
FUTIDX    ,NIFTYNXT50,30/12/2025,00070640.00,00070832.20,00070640.00,00070747.00,000000000002700,       33591245.00,              475,              019,              014
FUTSTK    ,ABB       ,25/11/2025,00004950.00,00005065.00,00004950.00,00005053.00,000000002899875,     3430955625.00,           684125,             5473,             4282
FUTSTK    ,ABB       ,30/12/2025,00004960.50,00005060.00,00004960.50,00005050.50,000000000536750,     1402349187.50,           280000,             2240,             1551
