Futures on individual securities                                                                    
S No      ,Symbol    ,Traded Value (Rs.)                 ,No of Contracts                                   
1         ,360ONE    ,      379908050.00,              707
2         ,ABB       ,     4889896438.00,             7803
3         ,ABCAPITAL ,     2310280270.00,             2217
4         ,ADANIENSOL,     1564094171.00,             2263
5         ,ADANIENT  ,    12256632177.00,            16134
6         ,ADANIGREEN,     5410849320.00,             8301
7         ,ADANIPORTS,     3406452335.00,             4731
8         ,ALKEM     ,     1662514938.00,             2332
9         ,AMBER     ,     2654444950.00,             3622
10        ,AMBUJACEM ,     1343695658.00,             2271
11        ,ANGELONE  ,     6039351350.00,             8526
12        ,APLAPOLLO ,      666119895.00,             1067
13        ,APOLLOHOSP,     3033282188.00,             3240
14        ,ASHOKLEY  ,     3142376200.00,             4262
15        ,ASIANPAINT,     7375968125.00,            10185
16        ,ASTRAL    ,     5650066960.00,             8999
17        ,AUBANK    ,     6208460000.00,             6779
18        ,AUROPHARMA,     9992087600.00,            14667
19        ,AXISBANK  ,    12168620313.00,            15515
20        ,BAJAJ-AUTO,     8262253538.00,            12249
21        ,BAJAJFINSV,     3293842400.00,             6347
22        ,BAJFINANCE,     8768125650.00,            11331
23        ,BANDHANBNK,     2791357560.00,             4946
24        ,BANKBARODA,     7878575104.00,             9251
25        ,BANKINDIA ,     2664338768.00,             3439
26        ,BDL       ,     2803027090.00,             5366
27        ,BEL       ,     8209902589.00,            13484
28        ,BHARATFORG,     3490213400.00,             5008
29        ,BHARTIARTL,     9430011410.00,             9372
30        ,BHEL      ,     3423791569.00,             4561
31        ,BIOCON    ,     4988133500.00,             4754
32        ,BLUESTARCO,      675512013.00,             1161
33        ,BOSCHLTD  ,     1235540625.00,             1321
34        ,BPCL      ,     3468406026.00,             4654
35        ,BRITANNIA ,     2772383563.00,             3803
36        ,BSE       ,     8095585163.00,             7642
37        ,CAMS      ,     1831064160.00,             3054
38        ,CANBK     ,     9293286060.00,             9211
39        ,CDSL      ,     3268734160.00,             4201
40        ,CGPOWER   ,     2057611235.00,             3222
41        ,CHOLAFIN  ,     3478120250.00,             3271
42        ,CIPLA     ,     1494545888.00,             2591
43        ,COALINDIA ,     1638665235.00,             3116
44        ,COFORGE   ,     1580338913.00,             2335
45        ,COLPAL    ,     1822075988.00,             3697
46        ,CONCOR    ,     3101250313.00,             4773
47        ,CROMPTON  ,     1449184410.00,             2915
48        ,CUMMINSIND,     1872109960.00,             2146
49        ,CYIENT    ,      652260420.00,             1352
50        ,DABUR     ,     1930229000.00,             2929
51        ,DALBHARAT ,      495779440.00,              751
52        ,DELHIVERY ,     1569383194.00,             1713
53        ,DIVISLAB  ,     1507614750.00,             2305
54        ,DIXON     ,     8743230600.00,            11166
55        ,DLF       ,     2802707284.00,             4400
56        ,DMART     ,     2052983910.00,             3378
57        ,DRREDDY   ,     2725928625.00,             3504
58        ,EICHERMOT ,     5336836738.00,             4513
59        ,ETERNAL   ,    10397242548.00,            13944
60        ,EXIDEIND  ,     5488150950.00,             7922
61        ,FEDERALBNK,     5080311500.00,             4247
62        ,FORTIS    ,     3096482275.00,             4234
63        ,GAIL      ,     1804953969.00,             3092
64        ,GLENMARK  ,    25533024825.00,            36184
65        ,GMRAIRPORT,     5161231044.00,             7551
66        ,GODREJCP  ,     2021643550.00,             3488
67        ,GODREJPROP,     1325672948.00,             2190
68        ,GRASIM    ,     2361243275.00,             3376
69        ,HAL       ,     8626168050.00,            11986
70        ,HAVELLS   ,     1482838700.00,             2000
71        ,HCLTECH   ,     3264214730.00,             5824
72        ,HDFCAMC   ,     2172388350.00,             2652
73        ,HDFCBANK  ,    19779129095.00,            36112
74        ,HDFCLIFE  ,     1915600555.00,             2254
75        ,HEROMOTOCO,    17179254450.00,            19895
76        ,HFCL      ,      660812369.00,             1340
77        ,HINDALCO  ,     4456266395.00,             7874
78        ,HINDPETRO ,     2834977219.00,             2868
79        ,HINDUNILVR,     3885943200.00,             5320
