Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1558993,         54560120,         321576.98,000000015911275
BANKNIFTY ,          1849627,         64722120,         381618.39,000000023046105
FINNIFTY  ,             6951,           451815,           1256.45,000000000180765
FINNIFTY  ,             5603,           364195,           1011.35,000000000176410
FINNIFTY  ,             4035,           262275,            718.49,000000000199940
FINNIFTY  ,             8415,           546975,           1518.74,000000000257660
FINNIFTY  ,             7707,           500955,           1388.24,000000000164840
FINNIFTY  ,             3203,           208195,            577.20,000000000152165
FINNIFTY  ,             9683,           629395,           1747.44,000000000235820
MIDCPNIFTY,            16722,          2341080,           3289.90,000000000616840
MIDCPNIFTY,            31607,          4424980,           6217.97,000000001635060
MIDCPNIFTY,            13980,          1957200,           2750.96,000000000575540
MIDCPNIFTY,           282296,         39521440,          55094.80,000000018360440
NIFTYNXT50,              212,             5300,             37.53,000000000002700
NIFTYNXT50,              166,             4150,             29.49,000000000007500
NIFTYNXT50,              062,             1550,             11.01,000000000002025
NIFTY     ,         17703761,       1327710775,        3442539.57,000000083350530
NIFTY     ,         19830512,       1487246080,        3868598.98,000000091175405
NIFTY     ,         24303938,       1822749050,        4744272.69,000000096893785
NIFTY     ,         14352720,       1076408560,        2791511.60,000000083089915
NIFTY     ,         13192908,        989420580,        2572946.84,000000085546425
NIFTY     ,         11860153,        889462295,        2308954.27,000000079776655
NIFTY     ,         12659008,        949384690,        2458975.57,000000081768635
NIFTYNXT50,              703,            17575,            124.34,000000000007950
