Options on individual securities                                                                    
S No      ,Symbol    ,No of Cont       ,Notional Value (Rs.)     
1         ,360ONE    ,             2101,     1161222400.00
2         ,ABB       ,            41631,    26582523950.00
3         ,ABCAPITAL ,             9893,    10375076900.00
4         ,ADANIENSOL,            13297,     9373416728.00
5         ,ADANIENT  ,            76651,    58979168463.00
6         ,ADANIGREEN,            61298,    41398256220.00
7         ,ADANIPORTS,            43766,    31978914274.00
8         ,ALKEM     ,            13561,     9879569775.00
9         ,AMBER     ,            39475,    29790844855.00
10        ,AMBUJACEM ,            11607,     7057025903.00
11        ,ANGELONE  ,            91816,    65444896250.00
12        ,APLAPOLLO ,             3574,     2273631640.00
13        ,APOLLOHOSP,            33488,    32097851544.00
14        ,ASHOKLEY  ,            21391,    16152918400.00
15        ,ASIANPAINT,           107689,    78400569650.00
16        ,ASTRAL    ,            49583,    31888963949.00
17        ,AUBANK    ,            41722,    38533104550.00
18        ,AUROPHARMA,            26581,    18221573315.00
19        ,AXISBANK  ,           107751,    85268997750.00
20        ,BAJAJ-AUTO,           123062,    84306017854.00
21        ,BAJAJFINSV,            44892,    23452042788.00
22        ,BAJFINANCE,            83596,    65775794738.00
23        ,BANDHANBNK,            21706,    12614184900.00
24        ,BANKBARODA,            44255,    38060474108.00
25        ,BANKINDIA ,            15333,    11995533316.00
26        ,BDL       ,            42759,    22613648289.00
27        ,BEL       ,            84116,    52095240203.00
28        ,BHARATFORG,            15543,    10990569400.00
29        ,BHARTIARTL,            89435,    90296758739.00
30        ,BHEL      ,            38460,    28919917163.00
31        ,BIOCON    ,            29075,    30778189750.00
32        ,BLUESTARCO,             3236,     1938984986.00
33        ,BOSCHLTD  ,            17325,    16628668829.00
34        ,BPCL      ,            30912,    23332436898.00
35        ,BRITANNIA ,            24470,    18298806788.00
36        ,BSE       ,            73251,    78574097006.00
37        ,CAMS      ,            31099,    18976174500.00
38        ,CANBK     ,            75432,    76093163573.00
39        ,CDSL      ,            25255,    19992922900.00
40        ,CGPOWER   ,            12189,     7908514963.00
41        ,CHOLAFIN  ,             8605,     9401954719.00
42        ,CIPLA     ,            18895,    11106698288.00
43        ,COALINDIA ,            16402,     8651879190.00
44        ,COFORGE   ,            12040,     8348857744.00
45        ,COLPAL    ,             9739,     4948364903.00
46        ,CONCOR    ,             9211,     6211721875.00
47        ,CROMPTON  ,             9329,     4871143260.00
48        ,CUMMINSIND,            15508,    13762093600.00
49        ,CYIENT    ,             5971,     2992044944.00
50        ,DABUR     ,            19877,    13271430375.00
51        ,DALBHARAT ,             4719,     3195991728.00
52        ,DELHIVERY ,            16411,    15533637061.00
53        ,DIVISLAB  ,            18055,    12127833235.00
54        ,DIXON     ,            96474,    77031091218.00
55        ,DLF       ,            23017,    14762159239.00
56        ,DMART     ,            15775,    10035151358.00
57        ,DRREDDY   ,            15445,    12259346250.00
58        ,EICHERMOT ,            57636,    69622472115.00
59        ,ETERNAL   ,            81374,    62883213108.00
60        ,EXIDEIND  ,            37729,    26534739330.00
61        ,FEDERALBNK,            22515,    27180833900.00
62        ,FORTIS    ,            20181,    15364860150.00
63        ,GAIL      ,            12718,     7515241083.00
