The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,TMPV      ,25/11/2025,00000380.00,CE      ,            55298,    16986265320.00
2         ,SIEMENS   ,25/11/2025,00003200.00,CE      ,            51318,    20907432975.00
3         ,TMPV      ,25/11/2025,00000400.00,CE      ,            45735,    14672586640.00
4         ,GLENMARK  ,25/11/2025,00001900.00,CE      ,            43275,    31422874031.00
5         ,TMPV      ,25/11/2025,00000390.00,CE      ,            40525,    12702836240.00
6         ,HEROMOTOCO,25/11/2025,00005800.00,CE      ,            33923,    29894199668.00
7         ,HEROMOTOCO,25/11/2025,00005700.00,CE      ,            29881,    26062688790.00
8         ,TMPV      ,25/11/2025,00000410.00,CE      ,            29494,     9689357600.00
9         ,TMPV      ,25/11/2025,00000370.00,PE      ,            27017,     8113981040.00
10        ,SIEMENS   ,25/11/2025,00003250.00,CE      ,            26079,    10729536444.00
11        ,BAJAJ-AUTO,25/11/2025,00009000.00,CE      ,            25996,    17785052093.00
12        ,SIEMENS   ,25/11/2025,00003300.00,CE      ,            24090,    10014281519.00
13        ,TMPV      ,25/11/2025,00000370.00,CE      ,            22565,     6829924040.00
14        ,GLENMARK  ,25/11/2025,00002000.00,CE      ,            21689,    16349939531.00
15        ,HEROMOTOCO,25/11/2025,00005750.00,CE      ,            21669,    19001156730.00
16        ,HDFCBANK  ,25/11/2025,00001000.00,CE      ,            21628,    11985261338.00
17        ,HEROMOTOCO,25/11/2025,00006000.00,CE      ,            21154,    19103354505.00
18        ,GLENMARK  ,25/11/2025,00001920.00,CE      ,            20842,    15245149106.00
19        ,TMPV      ,25/11/2025,00000420.00,CE      ,            20552,     6912787600.00
20        ,SIEMENS   ,25/11/2025,00003150.00,CE      ,            20062,     8104160994.00
The top twenty contracts contributed to around   6% of the total traded volume in Options on individual securities.TMPV was the most active option contracts on individual securities traded today with 385925 contracts and GLENMARK was the next most active options contracts with 279249 contracts being traded.                                                                                                                                                                                              
