SYMBOL,CLIENT_LIMIT,EXCHANGE
360ONE,4466000,BSE
360ONE,4466000,NSE
360ONE,4466000,MSEI
ABB,794625,BSE
ABB,794625,MSEI
ABB,794625,NSE
ABCAPITAL,12229500,BSE
ABCAPITAL,12229500,MSEI
ABCAPITAL,12229500,NSE
ADANIENSOL,5190075,BSE
ADANIENSOL,5190075,MSEI
ADANIENSOL,5190075,NSE
ADANIENT,3094017,MSEI
ADANIENT,3094017,BSE
ADANIENT,3094017,NSE
ADANIGREEN,6187200,MSEI
ADANIGREEN,6187200,BSE
ADANIGREEN,6187200,NSE
ADANIPORTS,7379600,MSEI
ADANIPORTS,7379600,BSE
ADANIPORTS,7379600,NSE
ALKEM,613000,BSE
ALKEM,613000,MSEI
ALKEM,613000,NSE
AMBER,306700,BSE
AMBER,306700,MSEI
AMBER,306700,NSE
AMBUJACEM,11975250,MSEI
AMBUJACEM,11975250,BSE
AMBUJACEM,11975250,NSE
ANGELONE,964750,MSEI
ANGELONE,964750,BSE
ANGELONE,964750,NSE
APLAPOLLO,2723000,MSEI
APLAPOLLO,2723000,BSE
APLAPOLLO,2723000,NSE
APOLLOHOSP,1524000,BSE
APOLLOHOSP,1524000,MSEI
APOLLOHOSP,1524000,NSE
ASHOKLEY,40915000,BSE
ASHOKLEY,40915000,MSEI
ASHOKLEY,40915000,NSE
ASIANPAINT,5235500,BSE
ASIANPAINT,5235500,MSEI
ASIANPAINT,5235500,NSE
ASTRAL,1849175,MSEI
ASTRAL,1849175,BSE
ASTRAL,1849175,NSE
AUBANK,8623000,MSEI
AUBANK,8623000,BSE
AUBANK,8623000,NSE
AUROPHARMA,4197600,BSE
AUROPHARMA,4197600,MSEI
AUROPHARMA,4197600,NSE
AXISBANK,31614375,BSE
AXISBANK,31614375,MSEI
AXISBANK,31614375,NSE
BAJAJ-AUTO,1254750,MSEI
BAJAJ-AUTO,1254750,BSE
BAJAJ-AUTO,1254750,NSE
BAJAJFINSV,6565750,MSEI
BAJAJFINSV,6565750,BSE
BAJAJFINSV,6565750,NSE
BAJFINANCE,28111500,BSE
BAJFINANCE,28111500,MSEI
BAJFINANCE,28111500,NSE
BANDHANBNK,14274000,BSE
BANDHANBNK,14274000,MSEI
BANDHANBNK,14274000,NSE
BANKBARODA,25748775,BSE
BANKBARODA,25748775,NSE
BANKBARODA,25748775,MSEI
BANKEX,8082,BSE
BANKINDIA,18174000,BSE
BANKINDIA,18174000,MSEI
BANKINDIA,18174000,NSE
BANKNIFTY,5578361,NSE
BDL,1378650,BSE
BDL,1378650,NSE
BDL,1378650,MSEI
BEL,53577150,BSE
BEL,53577150,MSEI
BEL,53577150,NSE
BHARATFORG,3515500,BSE
BHARATFORG,3515500,NSE
BHARATFORG,3515500,MSEI
BHARTIARTL,31405575,MSEI
BHARTIARTL,31405575,BSE
BHARTIARTL,31405575,NSE
BHEL,16902375,BSE
BHEL,16902375,MSEI
BHEL,16902375,NSE
BIOCON,9097500,BSE
BIOCON,9097500,MSEI
BIOCON,9097500,NSE
BLUESTARCO,1958450,MSEI
BLUESTARCO,1958450,BSE
BLUESTARCO,1958450,NSE
BOSCHLTD,98250,MSEI
