The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,ICICIBANK ,25/11/2025,    37589100010.00,            38757
2         ,INFY      ,25/11/2025,    20711573400.00,            33894
3         ,ASIANPAINT,25/11/2025,    23908858325.00,            33303
4         ,TATASTEEL ,25/11/2025,    29600236930.00,            29982
5         ,HDFCBANK  ,25/11/2025,    14241629380.00,            26156
6         ,INDUSINDBK,25/11/2025,    15905926365.00,            25931
7         ,MOTHERSON ,25/11/2025,    13406276883.00,            20120
8         ,ETERNAL   ,25/11/2025,    14189972618.00,            19351
9         ,RELIANCE  ,25/11/2025,    14261440100.00,            18804
10        ,VEDL      ,25/11/2025,    10334537388.00,            16849
The top ten contracts contributed to around  20% of the total traded volume in Futures on individual securities.INFY was the most active future contracts on individual securities traded today with 46264 contracts and ICICIBANK was the next most active futures contracts with 42147 contracts being traded.                                                                                                                                                                                                     
